City_Name,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.68,77,15,few clouds
1,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.17,91,8,clear sky
2,Oranjemund,NA,-28.55,16.4333,61.5,96,61,broken clouds
3,Lagoa,PT,39.05,-27.9833,62.89,94,100,light rain
4,Mataura,NZ,-46.1927,168.8643,63.48,67,100,overcast clouds
5,Qaanaaq,GL,77.484,-69.3632,5.81,81,100,overcast clouds
6,Wagar,SD,16.1525,36.2032,69.55,80,0,clear sky
7,Tabou,CI,4.423,-7.3528,78.57,84,1,clear sky
8,Bluff,NZ,-46.6,168.3333,63.81,81,68,broken clouds
9,Barrow,US,71.2906,-156.7887,8.62,78,100,overcast clouds
10,Santa Teresa,VE,10.2341,-66.6631,79.9,96,79,broken clouds
11,Araouane,ML,18.9048,-3.5265,70.48,13,0,clear sky
12,Hambantota,LK,6.1241,81.1185,73.74,100,75,haze
13,Richards Bay,ZA,-28.783,32.0377,73.0,86,82,broken clouds
14,Lasa,IT,46.6166,10.7002,31.03,97,100,overcast clouds
15,Atuona,PF,-9.8,-139.0333,77.38,68,2,clear sky
16,Albany,US,42.6001,-73.9662,28.4,61,0,clear sky
17,Oyama,JP,36.3,139.8,50.59,39,0,clear sky
18,Port Macquarie,AU,-31.4333,152.9167,67.89,76,99,overcast clouds
19,Namibe,AO,-15.1961,12.1522,67.42,77,5,clear sky
20,Mar Del Plata,AR,-38.0023,-57.5575,66.22,73,0,clear sky
21,Boke,GN,10.9409,-14.2967,74.34,97,8,clear sky
22,San Patricio,US,28.017,-97.5169,73.35,86,4,clear sky
23,Pisco,PE,-13.7,-76.2167,69.03,83,0,clear sky
24,Yomou,GN,7.5603,-9.2653,70.84,81,74,broken clouds
25,Harper,LR,4.375,-7.7169,78.42,84,0,clear sky
26,Hobart,AU,-42.8794,147.3294,63.27,64,75,broken clouds
27,Christchurch,NZ,-43.5333,172.6333,82.42,28,20,few clouds
28,Juneau,US,58.3019,-134.4197,32.22,93,75,broken clouds
29,Caravelas,BR,-17.7125,-39.2481,75.43,89,5,clear sky
30,Grand Gaube,MU,-20.0064,57.6608,77.4,75,68,broken clouds
31,Jamestown,US,42.097,-79.2353,29.01,66,0,clear sky
32,Margate,GB,51.3813,1.3862,30.31,91,27,scattered clouds
33,Tasiilaq,GL,65.6145,-37.6368,23.16,59,33,scattered clouds
34,Ushuaia,AR,-54.8,-68.3,44.26,65,40,scattered clouds
35,Witney,GB,51.7836,-1.4854,32.29,93,0,mist
36,Oussouye,SN,12.485,-16.5469,73.58,84,0,clear sky
37,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,93,overcast clouds
38,Norman Wells,CA,65.282,-126.8329,-11.16,70,75,light snow
39,Bengkulu,ID,-3.8004,102.2655,79.63,74,100,overcast clouds
40,Hovd,MN,48.0056,91.6419,1.53,80,100,overcast clouds
41,Ferkessedougou,CI,9.6,-5.2,75.16,31,0,clear sky
42,Saskylakh,RU,71.9167,114.0833,-13.63,99,99,overcast clouds
43,Nyurba,RU,63.2842,118.3319,-15.72,99,100,overcast clouds
44,Bonfim,BR,3.0833,-59.95,77.67,78,77,broken clouds
45,Longyearbyen,SJ,78.2186,15.6401,21.04,79,40,scattered clouds
46,Cape Town,ZA,-33.9258,18.4232,67.08,88,75,broken clouds
47,Zhongshan,CN,21.3226,110.5829,64.96,73,96,overcast clouds
48,Pinega,RU,64.7001,43.3936,9.93,95,99,overcast clouds
49,Guane,CU,22.2025,-84.0875,70.3,79,0,clear sky
50,Rujewa,TZ,-8.7,34.3833,70.09,68,100,overcast clouds
51,Punta Arenas,CL,-53.15,-70.9167,48.31,61,40,scattered clouds
52,Greencastle,US,39.6445,-86.8647,45.9,96,100,fog
53,Kapaa,US,22.0752,-159.319,82.72,73,20,few clouds
54,Salta,AR,-24.7859,-65.4117,82.99,62,100,overcast clouds
55,Lorengau,PG,-2.0226,147.2712,84.88,66,100,overcast clouds
56,Boguchany,RU,58.3814,97.4531,9.88,91,100,light snow
57,Ribeira Grande,PT,38.5167,-28.7,66.78,95,100,moderate rain
58,Darhan,MN,49.4867,105.9228,-3.64,85,5,clear sky
59,Thompson,CA,55.7435,-97.8558,10.56,85,75,broken clouds
60,Baykit,RU,61.67,96.37,-6.29,100,100,overcast clouds
61,Laguna,US,38.421,-121.4238,53.58,76,100,overcast clouds
62,Saldanha,ZA,-33.0117,17.9442,66.25,88,0,clear sky
63,Abadan,IR,30.3392,48.3043,55.35,71,0,clear sky
64,Nikolskoye,RU,59.7035,30.7861,24.69,97,91,overcast clouds
65,Bandarbeyla,SO,9.4942,50.8122,75.2,70,100,overcast clouds
66,Kodiak,US,57.79,-152.4072,29.71,43,0,clear sky
67,Hithadhoo,MV,-0.6,73.0833,81.91,76,100,overcast clouds
68,Bredasdorp,ZA,-34.5322,20.0403,64.47,83,0,clear sky
69,Khatanga,RU,71.9667,102.5,-15.45,98,100,overcast clouds
70,Alta Floresta,BR,-9.8756,-56.0861,72.43,92,98,overcast clouds
71,Cap Malheureux,MU,-19.9842,57.6142,76.46,75,57,broken clouds
72,Atikokan,CA,48.7555,-91.6216,22.64,93,50,scattered clouds
73,East London,ZA,-33.0153,27.9116,71.71,81,100,overcast clouds
74,Redcar,GB,54.6166,-1.06,32.36,69,62,broken clouds
75,Hobyo,SO,5.3505,48.5268,78.64,72,97,overcast clouds
76,Prado,BR,-17.3411,-39.2208,74.39,94,41,scattered clouds
77,Trairi,BR,-3.2778,-39.2689,79.03,81,14,few clouds
78,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,13,few clouds
79,Arraial Do Cabo,BR,-22.9661,-42.0278,73.2,90,0,clear sky
80,Ostrovnoy,RU,68.0531,39.5131,20.48,89,100,overcast clouds
81,Constantine,DZ,36.365,6.6147,54.81,87,75,thunderstorm with rain
82,Hilo,US,19.7297,-155.09,80.33,67,75,light rain
83,Carnarvon,AU,-24.8667,113.6333,73.63,47,0,clear sky
84,Sao Filipe,CV,14.8961,-24.4956,75.31,79,3,clear sky
85,Ngunguru,NZ,-35.6167,174.5,71.38,71,76,broken clouds
86,Lebu,CL,-37.6167,-73.65,57.24,84,99,overcast clouds
87,Taltal,CL,-25.4,-70.4833,64.9,83,5,clear sky
88,Whitehorse,CA,60.7161,-135.0538,9.37,66,20,few clouds
89,Puri,IN,19.8,85.85,70.32,62,91,overcast clouds
90,Yulara,AU,-25.2406,130.9889,104.38,16,8,clear sky
91,Marawi,PH,7.9986,124.2928,78.06,72,93,overcast clouds
92,Busselton,AU,-33.65,115.3333,66.51,40,100,overcast clouds
93,Tuatapere,NZ,-46.1333,167.6833,57.76,94,100,light rain
94,Mbandaka,CD,0.0487,18.2603,71.29,83,43,scattered clouds
95,Flinders,AU,-34.5833,150.8552,65.25,55,34,scattered clouds
96,Hermanus,ZA,-34.4187,19.2345,67.8,87,20,few clouds
97,Port Alfred,ZA,-33.5906,26.891,68.18,87,100,overcast clouds
98,Malartic,CA,48.1335,-78.1328,-0.29,91,7,clear sky
99,Espana,PH,12.3841,122.499,78.71,88,100,moderate rain
100,Ilulissat,GL,69.2167,-51.1,37.42,44,100,overcast clouds
101,Listvyanskiy,RU,54.4399,83.4984,-2.33,93,100,overcast clouds
102,Severo-Kurilsk,RU,50.6789,156.125,27.91,67,99,overcast clouds
103,Castro,BR,-24.7911,-50.0119,65.28,92,97,overcast clouds
104,Fredericksburg,US,38.3032,-77.4605,40.62,81,0,clear sky
105,Jumla,NP,29.2747,82.1838,41.47,18,0,clear sky
106,Torbay,CA,47.6666,-52.7314,39.58,97,100,overcast clouds
107,Constitucion,CL,-35.3333,-72.4167,58.64,91,28,scattered clouds
108,Manitouwadge,CA,49.1215,-85.8403,11.8,93,23,few clouds
109,Horana,LK,6.7166,80.0619,75.47,90,97,overcast clouds
110,Upernavik,GL,72.7868,-56.1549,34.05,69,100,overcast clouds
111,Hamilton,US,39.1834,-84.5333,48.72,91,100,mist
112,Pokhara,NP,28.2333,83.9833,58.23,28,0,clear sky
113,Unai,BR,-16.3575,-46.9061,72.19,87,54,broken clouds
114,Shubarkuduk,KZ,49.1447,56.4872,1.78,92,5,clear sky
115,Urusha,RU,54.05,122.9,-6.29,93,67,broken clouds
116,Broken Hill,AU,-31.95,141.4333,82.33,19,15,few clouds
117,Mokhsogollokh,RU,61.4681,128.9203,-20.02,97,100,overcast clouds
118,Kruisfontein,ZA,-34.0033,24.7314,63.88,61,57,broken clouds
119,Raahe,FI,64.6833,24.4833,19.49,97,100,overcast clouds
120,Tombouctou,ML,20.0,-3.0,70.38,13,0,clear sky
121,New Norfolk,AU,-42.7826,147.0587,63.88,40,100,overcast clouds
122,Nabire,ID,-3.3667,135.4833,75.92,95,100,overcast clouds
123,Avarua,CK,-21.2078,-159.775,75.25,88,75,light rain
124,Komsomolskiy,UZ,40.4272,71.7189,27.32,80,100,mist
125,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.19,84,74,broken clouds
126,Necochea,AR,-38.5473,-58.7368,59.22,75,0,clear sky
127,Adrar,MR,20.5022,-10.0711,75.15,15,10,clear sky
128,Kommunisticheskiy,RU,61.6789,64.4819,-16.65,95,22,few clouds
129,Laredo,US,27.5064,-99.5075,75.49,73,100,overcast clouds
130,Kawalu,ID,-7.3817,108.2082,78.93,77,79,broken clouds
131,Vieux-Habitants,GP,16.0589,-61.7659,69.37,65,26,scattered clouds
132,Novyy Urgal,RU,51.0736,132.5642,-6.34,93,100,overcast clouds
133,Abu Zabad,SD,12.35,29.25,64.94,29,2,clear sky
134,Bakel,SN,14.905,-12.4568,80.2,16,0,clear sky
135,Te Anau,NZ,-45.4167,167.7167,62.83,58,100,overcast clouds
136,Nome,US,64.5011,-165.4064,28.47,100,100,overcast clouds
137,Hami,CN,42.8,93.45,24.17,42,99,overcast clouds
138,Kumluca,TR,36.3703,30.2869,58.46,72,36,scattered clouds
139,Cravo Norte,CO,6.3017,-70.2041,77.65,68,67,broken clouds
140,Garissa,KE,-0.4536,39.6401,76.98,78,84,broken clouds
141,Atessa,IT,42.0693,14.4511,59.81,68,100,overcast clouds
142,Cabo San Lucas,MX,22.8909,-109.9124,72.61,67,68,broken clouds
143,Dikson,RU,73.5069,80.5464,-1.25,99,100,overcast clouds
144,Georgetown,MY,5.4112,100.3354,80.53,87,20,few clouds
145,Port Moresby,PG,-9.4431,147.1797,87.22,70,40,haze
146,Ufimskiy,RU,56.7084,58.0517,11.25,75,100,overcast clouds
147,Manama,BH,26.2154,50.5832,69.78,64,20,few clouds
148,Borovskoy,KZ,53.8,64.15,-1.3,86,36,scattered clouds
149,Yellowknife,CA,62.456,-114.3525,0.12,85,100,light snow
150,Olinda,BR,-8.0089,-34.8553,80.33,78,40,scattered clouds
151,Meteti,PA,8.4983,-77.9786,71.11,93,6,clear sky
152,Leningradskiy,RU,69.3833,178.4167,-6.38,91,99,overcast clouds
153,Chuy,UY,-33.6971,-53.4616,73.54,69,41,scattered clouds
154,Esperance,AU,-33.8667,121.9,63.97,70,88,overcast clouds
155,Dondo,MZ,-19.6094,34.7431,74.71,87,99,overcast clouds
156,Szczytno,PL,53.5626,20.9875,31.93,100,100,mist
157,Westport,US,41.1415,-73.3579,38.75,59,0,clear sky
158,Sola,VU,-13.8833,167.55,88.47,70,100,overcast clouds
159,Dillon,US,34.4166,-79.3712,55.11,63,100,overcast clouds
160,Taoudenni,ML,22.6783,-3.9836,74.05,17,26,scattered clouds
161,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.96,92,87,overcast clouds
162,Mecca,SA,21.4267,39.8261,72.12,71,0,clear sky
163,Mana,GF,5.6592,-53.7767,76.41,90,100,overcast clouds
164,Kapoeta,SS,4.7717,33.5903,75.07,60,99,overcast clouds
165,San Quintin,MX,30.4833,-115.95,57.16,73,1,clear sky
166,Luderitz,NA,-26.6481,15.1594,61.34,92,1,clear sky
167,Butler,US,39.4501,-84.5666,47.25,93,100,mist
168,Sobolevo,RU,54.4299,31.8996,25.48,98,100,overcast clouds
169,Butaritari,KI,3.0707,172.7902,82.04,76,8,clear sky
170,Evensk,RU,61.95,159.2333,5.59,86,100,overcast clouds
171,Korla,CN,41.7597,86.1469,23.52,51,100,overcast clouds
172,Lubango,AO,-14.9172,13.4925,62.96,42,42,scattered clouds
173,Faya,SA,18.3851,42.4509,51.91,85,13,few clouds
174,Fortuna,US,40.5982,-124.1573,47.66,90,100,overcast clouds
175,Kysyl-Syr,RU,63.8986,122.7617,-22.27,98,100,overcast clouds
176,Ucar,AZ,40.519,47.6542,41.18,74,99,overcast clouds
177,La Asuncion,VE,11.0333,-63.8628,76.73,78,45,scattered clouds
178,Pevek,RU,69.7008,170.3133,-1.95,97,100,overcast clouds
179,Camacha,PT,33.0833,-16.3333,62.02,77,40,scattered clouds
180,Victoria,HK,22.2855,114.1577,66.94,76,7,clear sky
181,Half Moon Bay,US,37.4636,-122.4286,55.45,76,100,overcast clouds
182,Zhigansk,RU,66.7697,123.3711,-21.91,96,100,overcast clouds
183,Mlonggo,ID,-6.5333,110.7,83.39,70,48,scattered clouds
184,Charyshskoye,RU,51.3978,83.5598,-0.29,96,76,broken clouds
185,Mayo,US,38.8876,-76.5119,42.94,76,0,clear sky
186,San Luis,AR,-33.295,-66.3356,75.09,63,0,clear sky
187,Havre-Saint-Pierre,CA,50.2334,-63.5986,15.8,73,0,clear sky
188,Dunedin,NZ,-45.8742,170.5036,59.77,84,56,broken clouds
189,Porto Walter,BR,-8.2686,-72.7439,73.74,93,100,overcast clouds
190,Escanaba,US,45.7453,-87.0646,32.31,82,100,overcast clouds
191,Bethel,US,41.3712,-73.414,35.96,64,0,clear sky
192,Jalu,LY,29.0331,21.5482,62.2,42,0,clear sky
193,Airai,TL,-8.9266,125.4092,78.31,39,98,overcast clouds
194,Chicama,PE,-7.8447,-79.1469,63.14,82,100,overcast clouds
195,Sivaki,RU,52.6333,126.75,2.48,83,100,overcast clouds
196,Abu Dhabi,AE,24.4667,54.3667,73.51,58,20,few clouds
197,Mango,US,27.9797,-82.3065,69.12,91,40,scattered clouds
198,Atar,MR,20.5169,-13.0499,77.97,26,16,few clouds
199,Fairbanks,US,64.8378,-147.7164,15.76,79,100,light snow
200,Whitley Bay,GB,55.0397,-1.4471,31.91,92,51,broken clouds
201,Kashi,CN,39.4547,75.9797,20.41,53,40,dust
202,Yoichi,JP,43.2039,140.7703,37.47,64,100,light rain
203,Den Helder,NL,52.9599,4.7593,35.02,100,100,fog
204,Sassandra,CI,4.95,-6.0833,77.77,87,0,clear sky
205,Kahului,US,20.8947,-156.47,80.62,57,20,few clouds
206,Iskateley,RU,67.6803,53.1512,-1.61,99,92,overcast clouds
207,Kaitangata,NZ,-46.2817,169.8464,58.96,82,57,broken clouds
208,Sidi Ali,DZ,36.0998,0.4206,60.06,75,100,overcast clouds
209,Dwarka,IN,22.2394,68.9678,72.7,51,0,clear sky
210,Ariquemes,BR,-9.9133,-63.0408,78.21,80,89,overcast clouds
211,La Ronge,CA,55.1001,-105.2842,7.05,85,75,snow
212,Varna,BG,43.2167,27.9167,58.87,100,100,overcast clouds
213,Kristiinankaupunki,FI,62.2743,21.376,18.41,94,93,overcast clouds
214,Fare,PF,-16.7,-151.0167,80.11,73,12,few clouds
215,Zhangye,CN,38.9342,100.4517,22.73,54,98,overcast clouds
216,Qasigiannguit,GL,68.8193,-51.1922,37.65,73,93,overcast clouds
217,Hualmay,PE,-11.0964,-77.6139,67.3,83,100,overcast clouds
218,Aykhal,RU,66.0,111.5,-26.39,100,100,overcast clouds
219,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,100,light snow
220,Mogadishu,SO,2.0371,45.3438,79.68,79,100,overcast clouds
221,Lakes Entrance,AU,-37.8811,147.981,66.16,56,1,clear sky
222,Naples,IT,40.8333,14.25,66.6,82,75,broken clouds
223,Dryden,CA,49.7833,-92.7503,21.49,93,0,clear sky
224,Cabra,ES,37.4725,-4.4421,53.62,96,100,overcast clouds
225,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,54,40,scattered clouds
226,Bathsheba,BB,13.2167,-59.5167,76.05,90,20,few clouds
227,Tessalit,ML,20.1986,1.0114,68.56,17,0,clear sky
228,Sinazongwe,ZM,-17.2614,27.4618,72.28,92,99,moderate rain
229,Puerto Suarez,BO,-18.95,-57.8,83.43,56,38,scattered clouds
230,Weinan,CN,34.5036,109.5089,40.75,27,98,overcast clouds
231,Caconda,AO,-13.7333,15.0667,59.83,92,92,light rain
232,Banjarmasin,ID,-3.3244,114.591,84.34,62,86,overcast clouds
233,Guerrero Negro,MX,27.9769,-114.0611,59.83,66,1,clear sky
234,Yuksekova,TR,37.5736,44.2872,20.95,93,20,mist
235,Tokur,RU,53.1333,132.9,-8.59,98,100,overcast clouds
236,La Plata,AR,-34.9215,-57.9545,69.03,77,100,light rain
237,Jiblah,YE,13.9216,44.1467,55.89,83,22,few clouds
238,Belmonte,BR,-15.8631,-38.8828,76.91,90,100,overcast clouds
239,Svetlyy,RU,54.675,20.1347,24.85,93,98,overcast clouds
240,Kesinga,IN,20.2,83.2333,66.04,64,100,overcast clouds
241,Barcelos,PT,41.5388,-8.6151,51.85,92,11,few clouds
242,Pendleton,US,45.6721,-118.7886,42.75,61,100,overcast clouds
243,Cidreira,BR,-30.1811,-50.2056,71.64,91,20,few clouds
244,Viedma,AR,-40.8135,-62.9967,68.83,17,5,clear sky
245,Narsaq,GL,60.9167,-46.05,19.62,70,0,clear sky
246,Mahebourg,MU,-20.4081,57.7,77.29,83,40,light rain
247,Iqaluit,CA,63.7506,-68.5145,-4.27,77,100,light snow
248,Geraldton,AU,-28.7667,114.6,75.61,43,40,scattered clouds
249,Palmer,US,42.1584,-72.3287,35.46,39,0,clear sky
250,Vaini,TO,-21.2,-175.2,77.16,100,75,moderate rain
251,Gizo,SB,-8.103,156.8419,84.61,71,100,light rain
252,Sauda,NO,59.6506,6.3542,29.68,71,9,clear sky
253,Maniitsoq,GL,65.4167,-52.9,33.37,74,100,overcast clouds
254,Rassvet,RU,46.8333,40.75,36.93,81,100,overcast clouds
255,Cayenne,GF,4.9333,-52.3333,77.04,94,75,broken clouds
256,Bairiki,KI,1.3292,172.9752,86.0,70,20,few clouds
257,Benguela,AO,-12.5763,13.4055,75.15,84,98,overcast clouds
258,Mayumba,GA,-3.432,10.6554,76.64,89,100,light rain
259,Nakhon Phanom,TH,17.3333,104.4167,73.2,62,49,scattered clouds
260,Sterling,US,39.0062,-77.4286,40.59,71,0,clear sky
261,Cambui,BR,-22.6122,-46.0575,64.67,75,0,clear sky
262,Kuryk,KZ,43.2,51.65,25.81,47,0,clear sky
263,Katsuura,JP,35.1333,140.3,55.8,56,65,broken clouds
264,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,light rain
265,Umm Kaddadah,SD,13.6017,26.6876,61.09,18,71,broken clouds
266,Fort Nelson,CA,58.8053,-122.7002,-3.05,78,75,broken clouds
267,High Level,CA,58.5169,-117.136,3.31,85,100,light snow
268,Banepa,NP,27.6298,85.5214,44.92,87,20,mist
269,Rio Brilhante,BR,-21.8019,-54.5464,75.58,84,90,overcast clouds
270,Conceicao Da Barra,BR,-18.5933,-39.7322,74.39,95,0,clear sky
271,Dromolaxia,CY,34.8761,33.586,55.06,94,0,clear sky
272,Terney,RU,45.0503,136.6092,23.86,57,100,overcast clouds
273,Samarai,PG,-10.6167,150.6667,84.04,74,92,overcast clouds
274,Stutterheim,ZA,-32.5708,27.424,64.69,86,76,broken clouds
275,Le Port,RE,-20.9373,55.2919,77.0,78,11,few clouds
276,Bannu,PK,32.9854,70.6027,56.89,46,5,clear sky
277,Kropotkin,RU,45.4375,40.5756,40.05,62,100,overcast clouds
278,Asau,RO,46.4333,26.4,38.32,84,100,overcast clouds
279,Kalabo,ZM,-14.97,22.6814,65.5,91,100,light rain
280,Kavieng,PG,-2.5744,150.7967,83.68,72,56,light rain
281,Bud,US,39.447,-86.1758,45.9,97,100,overcast clouds
282,Rawson,AR,-43.3002,-65.1023,65.08,36,17,few clouds
283,Brooks,CA,50.5834,-111.8851,10.38,85,24,few clouds
284,Ahipara,NZ,-35.1667,173.1667,67.05,94,77,broken clouds
285,Ballina,AU,-28.8667,153.5667,73.02,86,87,overcast clouds
286,San Policarpo,PH,12.1791,125.5072,80.26,83,100,overcast clouds
287,Mount Gambier,AU,-37.8333,140.7667,76.39,29,0,clear sky
288,Luanda,AO,-8.8368,13.2343,77.27,86,100,overcast clouds
289,Ponta Do Sol,PT,32.6667,-17.1,67.01,73,99,overcast clouds
290,Numan,NG,9.4667,12.0333,68.94,26,0,clear sky
291,Ocos,GT,14.5094,-92.1933,79.61,73,1,clear sky
292,Kitakata,JP,37.65,139.8667,42.8,95,95,overcast clouds
293,Taveta,KE,-3.3963,37.6736,67.21,92,99,overcast clouds
294,Nipawin,CA,53.3668,-104.0009,17.64,79,100,overcast clouds
295,College,US,64.8569,-147.8028,15.75,79,100,light snow
296,Karratha,AU,-20.7377,116.8463,96.46,23,3,clear sky
297,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,97,100,moderate rain
298,Grindavik,IS,63.8424,-22.4338,30.67,74,0,clear sky
299,Basqal,AZ,40.7552,48.391,32.67,82,88,overcast clouds
300,Bowen,AU,-20.0167,148.2333,83.5,64,81,broken clouds
301,Sitka,US,57.0531,-135.33,37.29,81,75,light rain
302,San Rafael,AR,-34.6177,-68.3301,79.34,32,11,few clouds
303,Srednekolymsk,RU,67.45,153.6833,-38.51,97,97,overcast clouds
304,Krutinka,RU,56.0055,71.5113,8.69,95,100,light snow
305,Ancud,CL,-41.8697,-73.8203,54.07,91,55,broken clouds
306,Severnyy-Kospashskiy,RU,59.0925,57.8008,8.6,72,100,light snow
307,Poum,NC,-20.2333,164.0167,81.91,72,1,clear sky
308,Great Yarmouth,GB,52.6083,1.7305,30.94,87,9,clear sky
309,Noumea,NC,-22.2763,166.4572,89.58,99,21,few clouds
310,Ventspils,LV,57.3894,21.5606,24.73,86,0,clear sky
311,Souillac,MU,-20.5167,57.5167,77.38,83,40,scattered clouds
312,Gamba,GA,-2.65,10.0,76.57,89,100,light rain
313,Port Elizabeth,ZA,-33.918,25.5701,68.31,89,20,few clouds
314,Labuhan,ID,-6.8844,112.2051,83.64,66,26,scattered clouds
315,Ukiah,US,39.1502,-123.2078,47.44,91,100,overcast clouds
316,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,20.14,98,100,light snow
317,Pangai,TO,-19.8,-174.35,78.91,83,100,light rain
318,Maceio,BR,-9.6658,-35.7353,76.44,94,0,clear sky
319,Kerema,PG,-7.9631,145.7785,83.75,71,100,overcast clouds
320,Isangel,VU,-19.55,169.2667,86.11,70,100,overcast clouds
321,Bad Nauheim,DE,50.3646,8.7386,33.19,93,87,overcast clouds
322,Prince Rupert,CA,54.3161,-130.3201,37.09,85,100,overcast clouds
323,Touros,BR,-5.1989,-35.4608,78.48,80,12,few clouds
324,Asmar,AF,35.0333,71.3581,47.64,56,82,broken clouds
325,Usakos,NA,-22.0,15.6,63.91,41,1,clear sky
326,Port Hardy,CA,50.6996,-127.4199,37.58,87,100,light rain
327,Havre,FR,49.5833,0.3333,30.34,100,100,fog
328,Akdepe,TM,42.0551,59.3788,8.69,68,0,clear sky
329,Aygut,AM,40.6833,45.1729,27.28,81,58,broken clouds
330,Jablunkov,CZ,49.5767,18.7646,35.1,99,100,light snow
331,Cheltenham,GB,51.9,-2.0833,32.94,87,14,few clouds
332,Malpe,IN,13.35,74.7167,74.5,69,91,overcast clouds
333,Natal,BR,-5.795,-35.2094,79.45,78,40,scattered clouds
334,Nurpur,IN,29.15,78.4167,56.23,47,19,few clouds
335,Quatre Cocos,MU,-20.2078,57.7625,77.11,84,66,broken clouds
336,Fasa,IR,28.9383,53.6482,38.44,93,0,clear sky
337,Lavrentiya,RU,65.5833,-171.0,15.91,94,100,overcast clouds
338,Salalah,OM,17.0151,54.0924,71.69,56,0,clear sky
339,Kita,ML,13.0349,-9.4895,73.74,25,0,clear sky
340,Bissau,GW,11.8636,-15.5977,75.31,94,2,clear sky
341,Cherskiy,RU,68.75,161.3,-26.32,100,72,broken clouds
342,Eureka,US,40.8021,-124.1637,48.61,85,100,overcast clouds
343,Lusambo,CD,-4.9667,23.45,64.13,98,54,broken clouds
344,Orbetello,IT,42.4408,11.2196,62.62,88,100,light rain
345,Codrington,AU,-38.2667,141.9667,70.38,46,6,clear sky
